Code,Date,Open,High,Low,Close,Volume
10X,20260722,0.165,0.205,0.165,0.205,56590
14D,20260722,0.066,0.067,0.062,0.064,14830286
14DO,20260722,0.02,0.021,0.019,0.019,300320
14DOA,20260722,0.016,0.017,0.014,0.014,9188241
1AD,20260722,0.004,0.004,0.004,0.004,0
1ADO,20260722,0.002,0.002,0.002,0.002,0
1AE,20260722,0.051,0.051,0.047,0.048,490468
1AI,20260722,0.013,0.013,0.0125,0.013,1392608
1CG,20260722,0.011,0.011,0.011,0.011,15000000
1CGO,20260722,0.001,0.001,0.001,0.001,0
1GOV,20260722,51.24,51.24,51.21,51.21,137
1MC,20260722,0.026,0.026,0.025,0.025,74473
1TT,20260722,0.002,0.002,0.002,0.002,27312
1TTO,20260722,0.001,0.001,0.001,0.001,0
28BB,20260722,24.84,24.84,24.84,24.84,0
29BB,20260722,24.71,24.71,24.71,24.71,0
29M,20260722,0.235,0.245,0.235,0.235,4028650
30BB,20260722,24.59,24.6,24.59,24.6,947
31BB,20260722,25.32,25.33,25.32,25.33,876
360,20260722,25.96,26.04,25.42,25.51,454747
3DA,20260722,0.28,0.3,0.26,0.26,836845
3DP,20260722,0.028,0.03,0.0275,0.03,711971
3PL,20260722,0.31,0.31,0.31,0.31,62917
49M,20260722,0.091,0.091,0.091,0.091,0
4DS,20260722,0.011,0.011,0.011,0.011,0
4DX,20260722,3.42,3.54,3.37,3.39,3424502
4DXOB,20260722,2.85,2.85,2.72,2.72,4246
5GG,20260722,0.015,0.015,0.015,0.015,400
5GN,20260722,0.054,0.054,0.054,0.054,0
5GOV,20260722,51.62,51.64,51.6,51.63,1633
6KA,20260722,0.7,0.7,0.685,0.685,10111
88E,20260722,0.02,0.02,0.019,0.019,2184675
88EOA,20260722,0.001,0.001,0.001,0.001,0
8CO,20260722,0.04,0.04,0.04,0.04,0
8IH,20260722,0.013,0.013,0.013,0.013,0
A11,20260722,0.3,0.3,0.295,0.3,55416
A1M,20260722,0.685,0.7025,0.685,0.69,1346752
A1N,20260722,0.26,0.26,0.255,0.26,50655
A200,20260722,146.8,147.5,146.71,147.1,97850
A2M,20260722,6.97,7.095,6.93,6.99,1607641
A300,20260722,51.34,51.4,51.3,51.3,1703
A3D,20260722,0.044,0.044,0.044,0.044,25000
A4N,20260722,0.555,0.565,0.535,0.545,7019236
A8G,20260722,0.11,0.11,0.11,0.11,23637
AA2,20260722,0.28,0.28,0.28,0.28,0
AAA,20260722,50.19,50.19,50.18,50.18,234822
AAC,20260722,1.3575,1.37,1.355,1.37,24403
AAI,20260722,64.09,64.24,63.15,63.86,485619
AAJ,20260722,0.008,0.008,0.008,0.008,618157
AAJOA,20260722,0.004,0.005,0.004,0.005,5000000
AAL,20260722,0.27,0.27,0.245,0.245,19934
AAM,20260722,0.033,0.033,0.032,0.032,505084
AAP,20260722,0.067,0.067,0.067,0.067,0
AAR,20260722,0.13,0.1425,0.13,0.13,9746674
AASF,20260722,3.8,3.82,3.79,3.81,21021
AAU,20260722,0.0065,0.007,0.006,0.006,907058
AAUO,20260722,0.001,0.001,0.001,0.001,0
ABB,20260722,4.74,4.83,4.68,4.79,799720
ABE,20260722,0.012,0.012,0.012,0.012,0
ABG,20260722,0.925,0.935,0.92,0.925,1197166
ABR,20260722,0.003,0.003,0.003,0.003,28056
ABRO,20260722,0.001,0.001,0.001,0.001,0
ABV,20260722,0.11,0.115,0.105,0.105,51679
ABX,20260722,0.043,0.045,0.043,0.045,69564
ABXO,20260722,0.003,0.003,0.003,0.003,0
ABY,20260722,0.2725,0.3,0.2725,0.275,129548
ACDC,20260722,126.68,128.51,126.68,127.4,7507
ACE,20260722,1.135,1.135,1.115,1.115,57345
ACF,20260722,0.93,0.945,0.915,0.92,646304
ACL,20260722,2.39,2.39,2.29,2.33,391635
ACM,20260722,0.039,0.039,0.035,0.035,17783
ACP,20260722,0.025,0.025,0.025,0.025,0
ACQ,20260722,0.875,0.875,0.87,0.87,15465
ACR,20260722,0.012,0.012,0.012,0.012,339
ACRO,20260722,0.001,0.001,0.001,0.001,0
ACS,20260722,0.025,0.025,0.025,0.025,0
ACU,20260722,0.084,0.084,0.082,0.082,105000
ACW,20260722,0.04,0.042,0.04,0.041,685765
ACWOC,20260722,0.024,0.024,0.024,0.024,0
ACWOD,20260722,0.02,0.02,0.02,0.02,0
AD1,20260722,0.029,0.029,0.027,0.027,153965
AD8,20260722,1.94,1.94,1.885,1.9,225010
ADC,20260722,0.045,0.045,0.045,0.045,0
ADD,20260722,0.04,0.041,0.038,0.04,614764
ADDO,20260722,0.006,0.006,0.006,0.006,0
ADDOD,20260722,0.015,0.015,0.015,0.015,0
ADEF,20260722,6.08,6.08,6.08,6.08,41812
ADH,20260722,1.47,1.5,1.445,1.45,255178
ADN,20260722,0.007,0.008,0.007,0.007,733904
ADNO,20260722,0.001,0.001,0.001,0.001,0
ADNOC,20260722,0.003,0.003,0.003,0.003,0
ADNOD,20260722,0.002,0.002,0.002,0.002,0
ADO,20260722,0.022,0.024,0.02,0.021,12917293
ADR,20260722,0.135,0.135,0.115,0.115,23200
ADS,20260722,0.001,0.001,0.001,0.001,0
ADX,20260722,0.021,0.021,0.018,0.019,11735805
ADY,20260722,0.006,0.006,0.006,0.006,0
AEBD,20260722,49.99,49.99,49.97,49.98,577
AEE,20260722,0.1,0.105,0.1,0.105,1791657
AEF,20260722,4.59,4.59,4.43,4.51,181046
AEG,20260722,0.082,0.082,0.08,0.08,450089
AEI,20260722,0.03,0.03,0.03,0.03,7570
AEL,20260722,1.55,1.6475,1.54,1.64,1117178
AEM,20260722,0.365,0.37,0.36,0.37,210620
AER,20260722,0.055,0.055,0.055,0.055,100000
AESG,20260722,96.48,96.51,96.42,96.45,8104
AEU,20260722,0.35,0.39,0.34,0.385,2458796
AEV,20260722,0.007,0.007,0.007,0.007,0
AFA,20260722,0.07,0.07,0.07,0.07,30790
AFG,20260722,1.58,1.58,1.525,1.55,765708
AFI,20260722,6.88,6.9,6.86,6.86,380074
AFL,20260722,0.13,0.13,0.13,0.13,38067
AFP,20260722,3.29,3.29,3.29,3.29,0
AGC,20260722,0.12,0.12,0.115,0.115,107372
AGD,20260722,0.115,0.12,0.115,0.12,110258
AGE,20260722,0.055,0.0575,0.0545,0.055,13069270
AGEOD,20260722,0.017,0.017,0.017,0.017,40946
AGGG,20260722,99.61,99.61,99.61,99.61,0
AGI,20260722,1.45,1.5,1.45,1.455,16918
AGL,20260722,8.21,8.3,8.18,8.28,1434223
AGN,20260722,0.145,0.155,0.145,0.155,256452
AGR,20260722,0.019,0.019,0.017,0.017,5316437
AGRO,20260722,0.007,0.007,0.007,0.007,0
AGVT,20260722,40.81,40.83,40.77,40.79,107953
AGX1,20260722,6.15,6.16,6.12,6.14,40546
AGY,20260722,0.041,0.044,0.041,0.044,2261766
AGYO,20260722,0.015,0.015,0.015,0.015,0
AHC,20260722,0.225,0.235,0.225,0.235,118016
AHE,20260722,0.018,0.018,0.017,0.017,517919
AHF,20260722,0.017,0.018,0.017,0.018,62406
AHK,20260722,0.24,0.26,0.24,0.25,42690
AHL,20260722,1.37,1.37,1.37,1.37,37
AHNDA,20260722,0.09,0.09,0.09,0.09,0
AI1,20260722,0.155,0.165,0.155,0.155,5317088
AIA,20260722,7.13,7.15,7.09,7.11,242058
AIH,20260722,0.625,0.685,0.62,0.685,111858
AII,20260722,21.05,22.49,21.05,21.61,5362
AIM,20260722,0.205,0.215,0.205,0.21,65642
AINF,20260722,17.74,17.74,17.15,17.15,70585
AIQ,20260722,1.43,1.43,1.43,1.43,0
AIS,20260722,0.39,0.405,0.385,0.385,17468108
AIV,20260722,0.025,0.025,0.025,0.025,49893
AIX,20260722,9.85,9.85,9.43,9.44,10572
AIZ,20260722,0.355,0.365,0.355,0.355,585239
AJL,20260722,0.0085,0.0085,0.0085,0.0085,119850
AJX,20260722,0.007,0.007,0.007,0.007,0
AKA,20260722,0.095,0.095,0.095,0.095,5400
AKG,20260722,0.074,0.074,0.074,0.074,0
AKM,20260722,0.19,0.19,0.185,0.185,136945
AKN,20260722,0.027,0.028,0.026,0.027,12150612
AKNO,20260722,0.016,0.016,0.015,0.015,13538000
AKO,20260722,0.084,0.084,0.084,0.084,0
AL3,20260722,0.115,0.115,0.1025,0.105,6845439
ALA,20260722,0.066,0.066,0.064,0.064,74699
ALAO,20260722,0.01,0.01,0.01,0.01,0
ALB,20260722,0.044,0.044,0.044,0.044,272516
ALC,20260722,0.098,0.098,0.092,0.092,1966326
ALD,20260722,38.08,39.07,37.95,38.92,1235888
ALFA,20260722,22.36,22.37,22.22,22.22,2229
ALI,20260722,2.58,2.6,2.57,2.57,17627
ALK,20260722,1.345,1.375,1.285,1.355,4258669
ALL,20260722,61.53,62.72,61.15,62.03,1048127
ALM,20260722,0.0115,0.0115,0.011,0.011,1294415
ALPH,20260722,11.35,11.35,11.35,11.35,0
ALQ,20260722,21.93,22.45,21.76,22.33,988665
ALR,20260722,0.03,0.032,0.03,0.031,3219038
ALTB,20260722,93.32,93.44,93.17,93.39,2578
ALV,20260722,0.021,0.022,0.019,0.021,506174
ALX,20260722,5.1,5.11,5.07,5.09,2255103
ALY,20260722,0.007,0.007,0.007,0.007,0
AM3,20260722,0.004,0.004,0.004,0.004,2000000
AM3OA,20260722,0.002,0.002,0.002,0.002,0
AM5,20260722,0.006,0.007,0.006,0.007,206868
AM7,20260722,0.036,0.036,0.036,0.036,0
AMA,20260722,0.45,0.455,0.435,0.44,524051
AMC,20260722,60.41,61.22,60.355,60.86,501048
