Code,52w Low,52w High,Long-Term Trend,RSI (14),MACD,1 Day,RR Week 1,RR Week 2,RR Week 3,RR Week 4,RR Week 6,RR Week 8,RR Week 13,RR Week 19,RR Week 26,RR Week 39,RR Week 52,Close Price,Price Close Today,Price Week 1,Price Week 2,Price Week 3,Price Week 4,Price Week 13,Price Week 26,Price Week 52,Trend RR,Over Extention Risk,Trend Score,Trend Move,Liquidity Score,Liquidity Move,Volatility Score,Upside Pressure Risk,Market Cap Rank,Ranking,Overall Momentum Score,Overall Risk,Expected Move Up,Expected Move Down,Directional Expected Move,Market cap Measured,Exit Reason,Final Score,CFS Smooth,CFS Move,Micro Regime Period,Trend Category,Volatility Category,Liquidity Category,Micro Regime,Macro VT Regime,Micro R Smooth,Market Regime Category,Price Last Friday,Upper Price Limit,Lower Price Limit,Target Price Limit,Stop price Limit,Market Standing Score,Final Verdict,EMA Final Verdict,Momentum Category,Behavioural Classifier,Confidence State,PE Valuation,Overall Risk Class,Breakout classifier,Sector,TYPE,Exchange abbreviation,Company
360,16.9,55.87,Bearish,38,Negative,0.03%,-3.60%,-8.34%,-7.22%,-8.07%,-33.40%,-17.56%,-20.22%,-4.23%,5.20%,-42.36%,-63.39%,19.02,$19.130,$19.730,$20.750,$20.500,$20.690,$23.840,$18.080,$51.960,-30.95%,0.28%,-0.426,-0.035,3.873,0.130,2.095,79.74%,222,283,11.60%,35.30%,10.00%,15.22%,-4.66%,1558719478,Stress-Drawdown,35.10%,32.27%,2.830%,5,Fading – Weak,Low,Standard,Downside,Medium - Fading,Downside,Unstable_Weak,$19.020,$20.92,$16.13,$18.133,$16.376,5.289,Weak,Weak – Calm,Drop Phase,Faded,Moderate,Assured Value,Balanced,Neutral,Information Technology,CDI,XASX,Life360 Inc. CDI 3:1 Foreign Exempt Xngs
10X,0.12,0.24,Neutral,51,Negative,-5.06%,-3.23%,-3.23%,15.38%,15.38%,-16.67%,-3.23%,-25.00%,-14.29%,-18.92%,-14.29%,NA,0.15,$0.140,$0.155,$0.155,$0.130,$0.130,$0.200,$0.185,$0.000,-5.31%,1.72%,-0.143,0.032,2.734,0.048,2.439,22.55%,1684,1705,15.10%,46.10%,13.33%,32.55%,-7.11%,3944500,Trader Choice,27.80%,24.07%,3.734%,2,Fading – Weak,Medium,Fair,Neutral,Medium - Fading,Fading,Unstable_Weak,$0.150,$0.17,$0.10,$0.139,$0.141,1.000,Weak,Weak – Better,Fading,Inspect,Strong,NA,Caution,Neutral,Materials,Ordinary,XASX,Exultant Mining Limited Ordinary
14D,0.017,0.165,Neutral,49,Negative,2.53%,3.45%,-4.76%,-9.09%,0.00%,-1.64%,-4.76%,-53.85%,42.86%,215.79%,200.00%,-26.83%,0.06,$0.061,$0.058,$0.063,$0.066,$0.060,$0.130,$0.019,$0.082,-3.97%,3.89%,0.151,-0.057,3.870,0.003,2.722,31.04%,972,802,37.50%,47.00%,33.33%,33.33%,6.50%,43577777.8,Trader Choice,39.00%,36.96%,2.044%,4,Uptrend – Soft,Spiked,Standard,Neutral,Calm - Fading,Downside,Unstable_Weak,$0.060,$0.08,$0.04,$0.064,$0.052,1.448,Recheck,Weak – Calm,Climbing,Inspect,Moderate,NA,Caution,Neutral,Industrials,Ordinary,XASX,1414 Degrees Limited Ordinary
1AE,0.045,0.155,Neutral,55,Positive,0.00%,1.79%,1.79%,0.00%,16.33%,23.91%,18.75%,-10.94%,-20.83%,7.55%,-31.33%,-20.83%,0.057,$0.057,$0.056,$0.056,$0.057,$0.049,$0.064,$0.053,$0.072,-1.15%,3.23%,0.071,0.049,2.019,-0.474,2.395,18.72%,1473,1083,32.90%,47.90%,35.09%,35.09%,11.25%,10206630.9,Trader Choice,36.90%,33.11%,3.794%,4,Sideways – Soft,Medium,Limited,Rising,Medium - Fading,Neutral,Unstable_Weak,$0.057,$0.08,$0.04,$0.063,$0.052,1.239,Recheck,Weak – Better,Stable,Faded,Fragile,Balanced Value,Caution,Breakout Tilt,Materials,Ordinary,XASX,Aurora Energy Metals Limited Ordinary
1AI,0.008,0.024,Bearish,37,Negative,5.56%,-10.00%,-18.18%,-14.29%,-18.18%,-18.18%,-30.77%,-14.29%,-30.77%,-40.00%,-40.00%,20.00%,0.009,$0.010,$0.010,$0.011,$0.011,$0.011,$0.011,$0.015,$0.008,-30.98%,1.19%,-0.443,-0.113,2.020,0.076,2.785,42.84%,1231,2085,4.50%,57.70%,45.00%,45.00%,-12.32%,20275710,Stress-Drawdown,18.00%,18.81%,-0.812%,1,Fading – Breaking,Spiked,Limited,Downside,Calm - Uptrend,Downside,Unstable_Weak,$0.009,$0.01,$0.00,$0.008,$0.007,1.550,Weak,Weak – Drift,Drop Phase,Collapsed,Weak,NA,Exposed,Neutral,Health Care,Ordinary,XASX,Algorae Pharmaceuticals Limited Ordinary
1CG,0.008,0.014,Bullish,57,Negative,-10.00%,11.11%,11.11%,11.11%,-9.09%,0.00%,-9.09%,11.11%,11.11%,0.00%,-9.09%,0.00%,0.01,$0.009,$0.009,$0.009,$0.009,$0.011,$0.009,$0.010,$0.010,0.87%,3.23%,-0.060,0.119,1.511,-0.030,2.200,14.51%,1418,810,17.50%,47.00%,45.00%,45.00%,-4.38%,11765574,Stress-Drawdown,30.40%,26.50%,3.899%,1,Sideways – Calm,Medium,Scarce,Neutral,Calm - Fading,Downside,Unstable_Weak,$0.010,$0.01,$0.01,$0.010,$0.010,1.510,Weak,Weak – Better,Fading,Improved,Very Strong,NA,Caution,Breakout Tilt,Industrials,Ordinary,XASX,One Click Group Limited Ordinary
1GOV,50.47,52.47,Bearish,40,Negative,0.00%,0.30%,-0.31%,-0.74%,-0.95%,-0.84%,-0.76%,-0.99%,-0.14%,0.28%,-0.94%,-2.55%,50.85,$50.850,$50.700,$51.010,$51.230,$51.340,$51.360,$50.710,$52.180,-13.80%,0.09%,-0.063,0.008,1.332,0.046,1.622,5.05%,1742,1216,14.50%,33.30%,10.00%,17.43%,-4.75%,0,Stress-Drawdown,33.60%,31.22%,2.384%,14,Sideways – Breaking,Calm,Scarce,Neutral,Calm - Downtrend,Downside,Unstable_Weak,$50.850,$55.94,$41.99,$48.435,$48.347,1.995,Weak,Weak – Calm,Drop Phase,Inspect,Strong,NA,Balanced,Breakout Tilt,Financials ,ETF,XASX,Vaneck 1-5 Year Australian Government Bond ETF
1MC,0.018,0.11,Bearish,45,Negative,-3.57%,-15.15%,-6.67%,-6.67%,-6.67%,-12.50%,3.70%,12.00%,-12.50%,-3.45%,-20.00%,86.67%,0.028,$0.027,$0.033,$0.030,$0.030,$0.030,$0.025,$0.029,$0.015,-4.49%,0.62%,0.027,-0.192,1.555,-0.117,2.280,31.11%,1413,1645,18.80%,51.90%,45.00%,45.00%,8.50%,11927495.7,Stress-Drawdown,29.40%,30.51%,-1.109%,1,Sideways – Weak,Medium,Scarce,Fading,Medium - Fading,Fading,Unstable_Weak,$0.028,$0.04,$0.02,$0.030,$0.024,1.388,Weak,Weak – Drift,Fading,Collapsed,Strong,NA,Exposed,Neutral,Materials,Ordinary,XASX,Morella Corporation Limited Ordinary
28BB,24.62,25.28,Bearish,47,Negative,0.04%,0.24%,-0.04%,-0.40%,-0.32%,-0.12%,-0.04%,-0.24%,0.45%,0.49%,-0.36%,-1.70%,24.79,$24.790,$24.730,$24.800,$24.890,$24.870,$24.850,$24.670,$25.220,-0.19%,0.12%,-0.022,0.007,1.290,0.065,1.477,2.09%,1742,1029,15.20%,31.00%,10.00%,15.18%,-3.27%,0,Stress-Drawdown,35.30%,32.63%,2.667%,14,Sideways – Weak,Calm,Scarce,Neutral,Calm - Downtrend,Downside,Unstable_Weak,$24.790,$27.27,$21.03,$23.980,$23.628,1.928,Weak,Weak – Calm,Fading,Inspect,Strong,NA,Balanced,Breakout,Financials ,ETF,XASX,BetaShares 2028 Fixed Term Corp Bond Active ETF
29BB,24.45,25.28,Bearish,42,Negative,0.16%,0.41%,-0.20%,-0.61%,-0.61%,-0.61%,-0.20%,-0.77%,0.08%,-0.04%,-1.01%,-2.77%,24.55,$24.550,$24.450,$24.600,$24.700,$24.700,$24.740,$24.560,$25.250,-11.84%,0.17%,-0.046,0.006,1.451,0.132,1.964,5.76%,1742,993,16.50%,35.90%,10.00%,16.94%,-3.89%,0,Stress-Drawdown,36.40%,32.41%,3.987%,14,Sideways – Breaking,Low,Scarce,Neutral,Calm - Downtrend,Downside,Unstable_Weak,$24.550,$27.01,$20.39,$23.594,$23.165,1.926,Weak,Weak – Better,Fading,Inspect,Strong,NA,Balanced,Breakout,Financials ,ETF,XASX,BetaShares 2029 Fixed Term Corp Bond Active ETF
